title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history
VOLKSWAGEN POLO,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
AUDI A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,
FORD FIESTA,10995,59800,2017,3,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
FORD FOCUS CC,2495,68272,2007,,Petrol,Convertible,2.0L,Manual,2,4,Euro 4,
SMART FORFOUR,5595,51000,2016,4,Petrol,Hatchback,1.0L,Manual,5,4,Euro 6,
TOYOTA AVENSIS,7989,98235,2018,2,Diesel,Saloon,1.6L,Manual,4,5,Euro 6,
VOLKSWAGEN GOLF,8650,100000,2015,2,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,
AUDI A6 SALOON,5995,94000,2011,4,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,
VAUXHALL CORSA,2995,79011,2007,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
HONDA CIVIC,4550,76680,2010,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
JEEP GRAND CHEROKEE,2995,125000,2008,4,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,
VOLKSWAGEN POLO,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL CORSA,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
TOYOTA YARIS,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
NISSAN MICRA,2495,81025,2009,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
ALFA ROMEO GIULIETTA,3995,90851,2011,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
AUDI A6,16995,66229,2017,1,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,
HYUNDAI I30,10750,39406,2017,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,
SEAT IBIZA,5249,65946,2013,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
VAUXHALL CORSA,5100,49954,2013,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
BMW 5 SERIES,4999,140000,2012,3,Diesel,Estate,2.0L,Manual,5,5,Euro 5,
MERCEDES-BENZ A CLASS,7777,82000,2015,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,
VAUXHALL CORSA,8500,27500,2016,2,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
MITSUBISHI LANCER,4500,76988,2011,2,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,Full
RENAULT CLIO,1990,120863,2012,,Petrol,Hatchback,1.1L,Manual,3,5,Euro 5,
TOYOTA YARIS,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
FIAT 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,
MG ZT,15500,6,2004,4,Petrol,Saloon,1.8L,Manual,4,5,Euro 3,
BMW X3,5595,96541,2009,1,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,
NISSAN JUKE,13998,20194,2020,,Petrol,SUV,1.0L,Manual,5,5,Euro 6,
BMW X1,10500,82000,2014,,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,
KIA SPORTAGE,6895,82000,2013,3,Diesel,SUV,1.7L,Manual,5,5,Euro 5,
TOYOTA YARIS,2895,98172,2008,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
VOLKSWAGEN PASSAT,6995,140735,2015,2,Diesel,Estate,2.0L,Manual,5,5,Euro 6,
VAUXHALL CORSA,3695,84000,2013,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
BMW X6,16000,63000,2014,,Diesel,SUV,3.0L,Automatic,5,4,Euro 5,
AUDI A3,5750,139225,2012,3,Diesel,Hatchback,,Automatic,,,,
SUBARU IMPREZA,2395,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5,Euro 2,
FORD FOCUS,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,Full
TOYOTA YARIS,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
PROTON PROTON,3995,15760,1995,,Petrol,Hatchback,1.5L,Manual,5,,Euro 1,
BMW 2 SERIES,13444,78000,2014,,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,
FORD FIESTA,4950,71898,2014,2,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,
VOLKSWAGEN POLO,2995,68000,2008,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VOLKSWAGEN TOURAN,4000,144000,2012,3,Diesel,MPV,1.6L,Manual,5,7,Euro 5,
BMW 3 SERIES,11750,94000,2015,,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,
KIA RIO,6995,84000,2017,2,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,
MINI HATCH,4995,106289,2011,1,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,
FORD FIESTA,3495,77900,2009,7,Diesel,Hatchback,1.4L,Manual,5,5,Euro 4,
VAUXHALL VECTRA,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
TOYOTA YARIS,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
TOYOTA IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4,Euro 4,
HONDA JAZZ,5395,50213,2011,2,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,
VAUXHALL CORSA,1995,69400,2006,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
PEUGEOT 2008,5995,46107,2014,,Diesel,SUV,1.4L,Manual,5,5,Euro 5,
TOYOTA YARIS,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
PEUGEOT 3008,17990,9669,2019,1,Diesel,SUV,1.5L,Manual,5,5,Euro 6,
MERCEDES-BENZ SLK,3295,93000,2007,5,Petrol,Convertible,1.8L,Automatic,2,2,Euro 4,
VOLKSWAGEN POLO HATCHBACK,8175,60800,2015,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,Full
ABARTH FIAT 595 1.4 TJET (165PS) SCORPIONEORO,17000,17670,2020,1,Petrol,Hatchback,1.4L,Manual,3,4,Euro 6,
CITROEN C3,8290,60000,2017,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
FORD C-MAX,3895,104000,2013,,Diesel,MPV,1.6L,Manual,5,5,Euro 5,
VOLVO V70,795,274100,2004,6,Petrol,Estate,2.4L,Automatic,5,5,Euro 3,
TOYOTA IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4,Euro 4,
VAUXHALL CORSA,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
BMW X1,7495,67000,2010,3,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,Full
NISSAN MICRA,3150,43500,2015,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
FORD FOCUS,6990,47000,2012,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,
FORD FOCUS,3995,102000,2013,2,Diesel,Estate,1.6L,Manual,5,5,Euro 5,
NISSAN MICRA,1695,96000,2005,3,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
JAGUAR XE,11995,72000,2016,,Petrol,Saloon,2.0L,Automatic,4,5,Euro 6,
VAUXHALL INSIGNIA,7637,84800,2016,,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,
MINI HATCH COOPER,7490,82250,2014,,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,Full
DACIA SANDERO STEPWAY,5495,48000,2016,,Petrol,Hatchback,0.9L,Manual,5,5,Euro 6,
SEAT LEON,7295,51733,2014,3,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
VAUXHALL VECTRA,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
VAUXHALL CORSA,2995,47988,2009,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ADAM,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
MERCEDES-BENZ E CLASS,9949,74854,2014,,Diesel,Saloon,2.1L,Automatic,4,5,Euro 5,
JAGUAR X-TYPE,1650,102000,2008,3,Diesel,Saloon,2.0L,Manual,4,5,Euro 4,
TOYOTA AURIS,3500,67995,2008,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
FORD FIESTA,5234,56883,2011,3,Diesel,Hatchback,1.6L,Manual,3,5,Euro 5,
BMW 1 SERIES,8099,58214,2014,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 6,
TOYOTA YARIS,2395,92000,2006,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 4,
FORD FOCUS,10195,60650,2019,1,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,
NISSAN MICRA,8079,55390,2017,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,
VAUXHALL ASTRA GTC,3295,116000,2014,2,Diesel,Coupe,2.0L,Manual,3,5,Euro 5,
VAUXHALL VECTRA,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
TOYOTA IQ,3495,85489,2009,,Petrol,Hatchback,1.3L,Manual,3,4,Euro 4,
VAUXHALL ADAM,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
BMW 1 SERIES,14695,54000,2019,1,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
HYUNDAI IX35,6490,93000,2014,3,Diesel,SUV,1.7L,Manual,5,5,Euro 5,
VOLVO V60,8495,72000,2014,,Diesel,Estate,1.6L,Manual,5,5,Euro 5,
BMW 4 SERIES GRAN COUPE,12950,77600,2014,4,Diesel,Hatchback,2.0L,Manual,5,5,Euro 6,
KIA STONIC,18750,12875,2022,,Petrol Hybrid,SUV,1.0L,Manual,5,5,Euro 6,
TOYOTA VERSO,5395,60582,2012,,Diesel,MPV,2.0L,Manual,5,7,Euro 5,
BMW 1 SERIES,5500,118000,2010,4,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,Full
SUZUKI ALTO,2495,83000,2014,1,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,
LAND ROVER FREELANDER 2,2875,143000,2007,5,Diesel,SUV,2.2L,Manual,5,5,Euro 4,
AUDI A6,10995,72894,2012,2,Diesel,Saloon,3.0L,Automatic,4,5,Euro 5,
FORD FIESTA,2490,42800,2007,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ADAM,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
AUDI A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,
TOYOTA PRIUS+,9495,55000,2012,1,Petrol Hybrid,MPV,1.8L,Automatic,5,7,,Full
SKODA FABIA,2499,79972,2006,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,
TOYOTA YARIS,3550,95200,2006,5,Diesel,Hatchback,1.4L,Automatic,5,5,Euro 4,
LAND ROVER FREELANDER 2,7547,122000,2012,3,Diesel,SUV,2.2L,Automatic,5,5,Euro 5,Full
PEUGEOT RCZ,8990,46284,2014,,Petrol,Coupe,1.6L,Automatic,2,4,Euro 5,
PEUGEOT 207,2950,59000,2012,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
MERCEDES-BENZ E CLASS,9490,32000,2011,,Diesel,Saloon,2.1L,Automatic,4,5,Euro 5,Full
KIA PROCEED,5995,77570,2014,4,Diesel,Hatchback,1.6L,Manual,3,5,Euro 5,
VAUXHALL ASTRA,4495,81222,2011,,Diesel,Hatchback,2.0L,Automatic,5,5,Euro 5,
VOLKSWAGEN SCIROCCO,5695,108582,2011,,Diesel,Hatchback,2.0L,Manual,3,4,Euro 5,
FORD FOCUS,1499,113187,2008,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
AUDI A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,
TOYOTA YARIS,2995,81224,2006,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
SUZUKI ALTO,3995,45000,2014,2,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,
TOYOTA YARIS,2395,85693,2008,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
MERCEDES-BENZ C CLASS,8990,50000,2011,5,Diesel,Coupe,2.1L,Automatic,2,4,Euro 5,
AUDI A6 AVANT,3290,139142,2007,5,Diesel,Estate,3.0L,Automatic,5,5,Euro 4,
RENAULT CLIO,6495,53000,2014,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,
CHEVROLET SPARK,2495,85556,2011,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
HYUNDAI I30,6250,83650,2015,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,
BMW 3 SERIES,9800,67000,2011,5,Petrol,Saloon,2.0L,Automatic,4,5,Euro 5,Full
HONDA CIVIC,3695,113000,2009,4,Petrol,Hatchback,2.0L,Manual,3,4,Euro 4,
DS AUTOMOBILES DS 7 CROSSBACK,14900,94000,2018,2,Diesel,SUV,2.0L,Automatic,5,5,Euro 6,
SUBARU IMPREZA,2395,130100,2001,5,Petrol,Saloon,2.0L,Manual,4,5,Euro 2,
VAUXHALL ADAM,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
FORD FOCUS,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,Full
MERCEDES-BENZ A CLASS,10975,37334,2015,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,
FORD C-MAX,7390,46760,2014,,Diesel,MPV,1.6L,Manual,5,5,Euro 5,
FORD ECOSPORT,5990,96600,2016,2,Petrol,SUV,1.0L,Manual,5,5,Euro 5,
LAND ROVER RANGE ROVER SPORT,3999,132000,2007,,Diesel,SUV,2.7L,Automatic,5,5,Euro 4,
HYUNDAI GETZ,1895,75290,2006,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
FORD KA,3300,89390,2014,4,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,
VAUXHALL ASTRA,3950,90000,2013,4,Diesel,Estate,1.7L,Manual,5,5,Euro 5,
MERCEDES-BENZ A CLASS,8595,93000,2015,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,Full
MINI HATCH,5195,46000,2010,,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,Full
TOYOTA YARIS,6150,65414,2014,,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,
PEUGEOT 407,995,144100,2007,4,Diesel,Saloon,2.0L,Manual,4,5,Euro 4,
FORD FOCUS,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,Full
VAUXHALL ASTRA,2995,61038,2007,,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,
VAUXHALL MERIVA,4295,94000,2014,,Petrol,MPV,1.4L,Manual,5,5,Euro 5,Full
FIAT 500,6970,49485,2017,,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,
MAZDA MAZDA 2,6950,64818,2016,2,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,
NISSAN JUKE,7470,58277,2014,2,Petrol,SUV,1.6L,Manual,5,5,Euro 5,
MAZDA CX-5,7495,73000,2012,2,Diesel,SUV,2.2L,Manual,5,5,Euro 6,
VOLKSWAGEN POLO,5950,71000,2013,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
PEUGEOT 2008,15990,40800,2021,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,
FORD FOCUS,4670,74717,2012,5,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,
TOYOTA PRIUS,8950,66000,2012,,Petrol Hybrid,Hatchback,,Automatic,,,,
VOLKSWAGEN POLO,6750,54500,2012,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
VAUXHALL ASTRA,2500,136842,2014,1,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
VAUXHALL ASTRA,2995,61038,2007,,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,
AUDI A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,
BMW X5,4450,135000,2004,1,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,
BMW 5 SERIES,9490,51000,2012,,Diesel,Saloon,2.0L,Automatic,4,5,Euro 5,
FORD MONDEO,3995,83000,2011,,Petrol,Hatchback,2.0L,Manual,5,5,Euro 5,Full
HYUNDAI I40,6495,87000,2013,5,Diesel,Estate,1.7L,Automatic,5,5,Euro 5,
LAND ROVER FREELANDER 2,7250,106000,2012,5,Diesel,SUV,2.2L,Manual,5,5,Euro 5,
FIAT PANDA,1700,94000,2009,3,Petrol,Hatchback,1.2L,Manual,5,4,Euro 4,
AUDI A3,9850,90000,2014,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
VAUXHALL INSIGNIA,3995,119000,2015,,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,Full
VOLKSWAGEN JETTA,7350,39488,2013,2,Diesel,Saloon,1.6L,Manual,4,5,Euro 5,
BMW 4 SERIES,10495,70950,2013,,Diesel,Coupe,2.0L,Automatic,2,4,Euro 6,Full
RENAULT CLIO,1990,120863,2012,,Petrol,Hatchback,1.1L,Manual,3,5,Euro 5,
AUDI A4,7990,80000,2012,,Petrol,Saloon,1.8L,Manual,4,5,Euro 5,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
TOYOTA YARIS,7000,55000,2014,2,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,Full
BMW 3 SERIES,9850,83000,2013,,Diesel,Saloon,2.0L,Automatic,4,5,Euro 5,
MERCEDES-BENZ E CLASS,8500,111000,2015,3,Diesel,Coupe,2.1L,Automatic,2,4,Euro 6,
MINI HATCH COOPER,7760,58000,2013,,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,
VOLKSWAGEN GOLF,11995,79000,2020,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,
TOYOTA YARIS,1895,77000,2002,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 3,
VAUXHALL ZAFIRA,6990,41163,2014,,Petrol,MPV,1.8L,Manual,5,7,Euro 4,
PEUGEOT 308,9499,30106,2017,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
HONDA JAZZ,1995,84641,2006,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
VOLKSWAGEN TIGUAN,15995,60000,2020,1,Petrol,SUV,1.5L,Manual,5,5,Euro 6,
RENAULT CLIO,1990,120863,2012,,Petrol,Hatchback,1.1L,Manual,3,5,Euro 5,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL ADAM,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
FIAT 500,5940,59623,2014,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,Full
CITROEN C4 PICASSO,3795,64715,2008,,Diesel,MPV,1.6L,Automatic,5,5,Euro 4,
FORD FIESTA,3995,54442,2009,1,Diesel,Hatchback,1.4L,Manual,5,5,Euro 4,
MERCEDES-BENZ S-CLASS,3795,64000,2002,,Diesel,Saloon,3.2L,Automatic,4,4,Euro 2,
SEAT IBIZA,7149,22000,2014,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
MERCEDES-BENZ C CLASS,2890,63000,2003,,Petrol,Coupe,1.8L,Automatic,2,4,Euro 3,
BMW 3 SERIES,5495,177000,2010,4,Diesel,Coupe,3.0L,Manual,2,4,Euro 5,Full
HYUNDAI I20,4650,66018,2012,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,Full
LAND ROVER RANGE ROVER EVOQUE,13993,80000,2013,4,Diesel,SUV,2.2L,Automatic,5,5,Euro 5,
VOLKSWAGEN PASSAT,9750,80000,2016,2,Diesel,Saloon,2.0L,Manual,4,5,Euro 6,
VOLKSWAGEN POLO,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,2995,61038,2007,,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VOLKSWAGEN GOLF,11995,78000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,
PEUGEOT 208,14975,10067,2020,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
VAUXHALL ASTRA,6000,68000,2015,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,
DS AUTOMOBILES DS 9,24770,16864,2021,1,Petrol Plug-in Hybrid,Saloon,1.6L,Automatic,4,5,Euro 6,
VOLKSWAGEN POLO,5190,80786,2010,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
AUDI A1,10000,41085,2017,2,Petrol,Hatchback,1.4L,Manual,3,4,Euro 6,
SUZUKI ALTO,2495,77000,2010,,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,
VOLKSWAGEN GOLF,4725,106408,2012,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,Full
VAUXHALL CORSA,6949,34960,2015,1,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,Full
LEXUS SC 430,4195,121000,2001,1,Petrol,Convertible,4.3L,Automatic,2,4,Euro 3,
FORD FIESTA,2490,42800,2007,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
FIAT 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
FIAT 500,7988,35912,2017,2,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,
MAZDA MX-30,13899,13865,2021,,Electric,SUV,,Automatic,5,5,,
FORD FOCUS,7499,59300,2016,3,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,
BMW 5 SERIES,3950,100200,2007,4,Petrol,Saloon,2.5L,Automatic,4,5,Euro 4,
VOLKSWAGEN GOLF,13995,52000,2018,,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 6,
SKODA OCTAVIA,4995,197790,2013,4,Diesel,Estate,2.0L,Manual,5,5,Euro 5,
MERCEDES-BENZ CL,10000,90000,2007,3,Petrol,Coupe,5.5L,Automatic,2,4,Euro 4,Full
VOLKSWAGEN GOLF,3795,62500,2007,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
AUDI A1,7950,89484,2012,5,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 5,
VOLKSWAGEN POLO,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL ADAM,4990,67000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
MERCEDES-BENZ C CLASS,16880,64806,2016,,Diesel,Coupe,2.1L,Automatic,2,4,Euro 6,
SUBARU XV,7995,41000,2012,,Petrol,SUV,1.6L,Manual,5,5,Euro 5,
KIA CEED,14450,18150,2020,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
NISSAN QASHQAI,6995,93500,2014,,Diesel,SUV,1.5L,Manual,5,5,Euro 5,Full
PEUGEOT 3008,5495,68000,2013,2,Diesel,SUV,1.6L,Manual,5,5,Euro 5,Full
VOLKSWAGEN POLO,8195,74670,2017,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,Full
VOLKSWAGEN GOLF,6319,121709,2014,3,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
PEUGEOT 2008,5999,52180,2018,1,Petrol,SUV,1.2L,Manual,5,5,Euro 6,
HONDA CIVIC,12790,50000,2018,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,Full
VOLKSWAGEN POLO,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
FIAT 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
KIA PICANTO,3750,71700,2012,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,Full
MINI HATCH COOPER,7489,60000,2012,2,Diesel,Hatchback,2.0L,Automatic,3,4,Euro 5,
VAUXHALL ASTRA,1600,94835,2002,3,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
CHEVROLET SPARK,1795,66790,2013,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,
VAUXHALL MOKKA,6940,64548,2015,,Diesel,SUV,1.7L,Manual,5,5,Euro 5,
NISSAN QASHQAI,6399,92016,2014,4,Petrol,SUV,1.2L,Manual,5,5,Euro 5,Full
AUDI A3,2399,106420,2002,4,Petrol,Hatchback,1.8L,Manual,3,5,Euro 3,Full
PEUGEOT 3008,15350,17495,2017,3,Petrol,SUV,1.2L,Manual,5,5,Euro 6,
BMW 1 SERIES,15970,57839,2019,2,Diesel,Hatchback,1.5L,Automatic,5,5,Euro 6,
VOLKSWAGEN POLO,1895,87100,2005,5,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL ASTRA,3195,28408,2005,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
AUDI Q3,8995,103200,2014,,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,Full
PORSCHE CAYENNE,8105,112000,2009,4,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,
HYUNDAI TUCSON,20500,25162,2021,3,Petrol Hybrid,SUV,1.6L,Manual,5,5,Euro 6,Full
HONDA CR-V,9995,86000,2015,4,Diesel,SUV,2.2L,Manual,5,5,Euro 5,
HYUNDAI I30,4040,120635,2013,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,Full
HYUNDAI SANTA FE,6995,146000,2014,2,Diesel,SUV,2.2L,Manual,5,5,Euro 5,Full
TOYOTA PRIUS,6350,72000,2012,1,Petrol Hybrid,Hatchback,1.8L,Automatic,,5,,
PEUGEOT 508 SW,18855,33225,2020,1,Diesel,Estate,1.5L,Automatic,5,5,Euro 6,
TOYOTA YARIS,7400,60438,2012,3,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 5,Full
VAUXHALL VECTRA,2250,52200,2007,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
FIAT 500C,3995,87986,2010,,Petrol,Convertible,1.2L,Manual,2,4,Euro 5,
FORD FOCUS,10970,91000,2019,1,Petrol,Hatchback,1.5L,Manual,5,5,Euro 6,Full
HYUNDAI I30,3495,86000,2011,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
SKODA CITIGO,4999,56355,2014,3,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,Full
FORD FIESTA,3450,93752,2012,,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,Full
SKODA FABIA,6995,69000,2016,2,Petrol,Estate,1.0L,Manual,5,5,Euro 6,
PEUGEOT 3008,14500,42962,2019,,Diesel,SUV,1.5L,Manual,5,5,Euro 6,
HONDA CIVIC,1750,110000,2002,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 3,
PEUGEOT 208,3850,77000,2012,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
